product_id,product_name,category,units_sold,sale_date
1,product 1,Home,25,2023-01-01
2,product 2,Sports,15,2023-01-02
3,product 3,Electronics,17,2023-01-03
4,product 4,Home,19,2023-01-04
5,product 5,Home,21,2023-01-05
6,product 6,Sports,17,2023-01-06
7,product 7,Electronics,19,2023-01-07
8,product 8,Electronics,16,2023-01-08
9,product 9,Home,21,2023-01-09
10,product 10,Clothing,21,2023-01-10
11,product 11,Home,17,2023-01-11
12,product 12,Home,22,2023-01-12
13,product 13,Home,14,2023-01-13
14,product 14,Home,17,2023-01-14
15,product 15,Sports,17,2023-01-15
16,product 16,Electronics,21,2023-01-16
17,product 17,Sports,21,2023-01-17
18,product 18,Sports,13,2023-01-18
19,product 19,Sports,18,2023-01-19
20,product 20,Home,25,2023-01-20
